ID,Order,Suborder,Superfamily,Family,Subfamily,Tribu,Subtribu,GenusOriginal,Genus,Subgenus,Species,Subspecies,Author,Year,Type,Stage,Validity,Rejections,Accessions,Citation,Host,HostOrgan,Locality,City,Country,Continent,LATD,LOND,CollectionDate,Collector,CollectionMethod,Taxonomist,DateDetermination,Institution,Observations,Order
CIP-004-92,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Eurysacca,,melanocampta,,Meyrick,1917,,,,,4,,Quinua,,Arequipa,Arequipa,Perú,America del Sur,,,25-Mar-92,"Mujica Sanchez, A.",,,,,Polilla en inflorescencia de la quinua.,66
CIP-004-93,Coleoptera,Adephaga,,Carabidae,,,,,,,,,,,,,,7,14,,,,Huatata,Cuzco,Perú,America del Sur,,,4-Feb-93,"Alcazar, J.",,,,,predador de color verde brillante,67
CIP-004-94,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,,,,,,,,,,,,,,,1,,,,Boyaca,Colombia,Colombia,America del Sur,,,11-Jun-93,"Palacios, M.",,,,,En tuberculos,68
CIP-004-95,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Eurysacca,,melanocampta,,Meyrick,1917,,,,1,1,,,,La Paz,Bolivia,Bolivia,America del Sur,,,9-Nov-94,"Ruiz, M.",Trampa malaise,"Povolny, D. ",16-Dec-95,,,69
CIP-004-96,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Symmetrischema,,tangolias,,Gyen,1913,,,,,,,,,Ica,Ica,Perú,America del Sur,,,1-Feb-95,"Cañedo, V.",,,,, Anteriormente era S. plaesiosema,70
CIP-004-97,Hymenoptera,,,,,,,,,,,,,,,,,,,,,,Tambopata,Madre de Dios,Perú,America del Sur,,,18-May-92,"Cañedo, V.",,,,,Hymenopteros parasitos de Mechanitus sp. Ex huevos,71
CIP-005-97,Hymenoptera,,,,,,,,,,,,,,,,,,,,,,Tambopata,Madre de Dios,Perú,America del Sur,,,22-Oct-92,"Cañedo, V.",,,,,Caracteristicas 11 avispas de huevo de caligo sp.,71.1
CIP-004-98,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Aphalaroidinae ,,,,Russelliana,,solanicola,,Tuthill,1959,,,,,4,,Potato,,Majes,Arequipa,Perú,America del Sur,,,24-Sep-98,"Cañedo, V.",,,,,En Perricholi (papa) para enviar a identificar,72
CIP-004-99,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Aphidiinae,,,,,,,,,,,,,,5,,Potato-Tomato,,Lima,Lima,Perú,America del Sur,,,15-Jul-97,"Cañedo, V.",,,,CICIU,"en plantas de papa tomasa, parasitoide",73
CIP-005-04,Lepidoptera,Glossata,Noctuoidea,Noctuidae,Heliothinae,,,Heliothis,Helicoverpa,,zea,,Boddie,1850,,,,,2,,,,La Paz,Bolivia,Bolivia,,,,12-May-95,"Valda, A.",,,,,Ex chenopodium quinoa (chenopodiaceae),74
CIP-005-05,Neuroptera,Myrmeleontiformia,Myrmeleontoidea,Ascalaphidae,,,,,,,,,,,,,,,1,,,,Paraccho,Huancayo,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de interceptación,"Doria, C.",3-Sep-05,,,75
CIP-005-06,Diptera,Nematocera,Chironomoidea,Chironomidae,,,,,,,sp. 2,,,,,,,,2,,,,Resana,Junín,Perú,America del Sur,,,13-Apr-06,"Cañedo, V.",Trampa malaise,,,,,76
CIP-005-07,Coleoptera,Adephaga,Caraboidea,Carabidae, Platyninae,Platynini,Platynina s.str.,,Incagonum,,sp. cerca de chilense,,Dejean,1831,,,,,1,,Potato,,Ñuñunhuayo,Junín,Perú,America del Sur,,,23-Feb-06,"Alcazar, J.",,,,,"Inicialmente como Carabidae sp.16, Campo 4",77
CIP-005-08,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Typhlocybinae,Dikraneurini,,,Empoasca,,sp.,,,,,,,1,1,,,,Paraccho,Huancayo,Perú,America del Sur,,,15-Jun-06,"Cañedo, V.",,,,,C/I,78
CIP-005-88,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,,,,,Chaetospila,,sp.,,,,,,,3,1,,,,La Molina,Lima,Perú,America del Sur,,,30-May-88,"Palacios, M.",,"Grissell, E. E. ",17-Jun-88,,Parasito de Scolytidae atado,79
CIP-005-89,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,Miscogasterinae,,,,Halticoptera,,arduine,,Walker,1843,,,,,3,,,,La Molina,Lima,Perú,America del Sur,,,15-Sep-89,"Palacios, M.",,,,,Machos con pulpa amarilla. Papa parasito de mosca minadora,80
CIP-005-90,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,Pteromalinae,,,,Eurydinoteloides,,longiventris,,Gahan,1937,,,,,10,,Sweetpotato,,Carabayllo,Lima,Perú,America del Sur,,,13-Dec-89,"Cañedo, V.",,,,,Camote. Ex. Euscepes,81
CIP-005-91,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Bruchinae,Bruchini ,Megacerina,,Megacerus,,maculiventris,,(Fahraeus),1839,,,,5,12,,Sweetpotato,,Puno,Puno,Perú,America del Sur,,,24-Jul-90,"Manrique, K. ",,"Kingsolver, J. M. ",1-May-91,,Camote semilla botanica,82
CIP-005-92,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae, Orsillinae ,,,,Nysius,,sp.,,,,,,,5,3,,Potato,,Pajonal bajo,Ica,Perú,America del Sur,,,23-Jul-92,"Bastidas, M.",,"Henry, T. J. ",18-Aug-92,,"Presenta en campo de papa, ocasionando daño, enrolla las hojas iniciales.",83
CIP-005-93,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Premnotrypini ,,,Premnotrypes,,sp.,,,,,,,8,8,,,,Huatata,Cuzco,Perú,America del Sur,,,4-Feb-93,"Alcazar, J.",,,,,mas pequeños,84
CIP-005-94,Diptera,Brachycera,Opomyzoidea,Agromyzidae,Phytomyzinae,,,,Liriomyza,,braziliensis,,Frost,1939,,,,,3,,Potato,,Cajamarca,Cajamarca,Perú,America del Sur,,,1993,"Leiva, C.",,,,,Barrenando y minando tuberculos de papa,85
CIP-005-95,Lepidoptera,Glossata,Gelechioidea,Gelechiidae,Gelechiinae,Gnorimoschemini,,,Eurysacca,,melanocampta,,Meyrick,1917,,,,1,0,,,,,,,,,,9-Nov-94,"Ruiz, M.",Trampa Malaise,"Povolny, D. ",16-Dec-95,,,86
CIP-005-96,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Microgastrinae,,,,Dolichogenidea,,gelechiidivoris,,Marsh,1979,,,,,17,,,,Cañete,Lima,Perú,America del Sur,,,1995,"Cañedo, V.",,,,,,87
CIP-005-98,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Aphalaroidinae ,,,,Russelliana,,solanicola,,Tuthill,1959,,,,,,,,,Majes,Arequipa,Perú,America del Sur,,,24-Sep-98,"Cañedo, V.",,,,,En Marigold para enviar a identificar,88
CIP-005-99,Hymenoptera,Apocrita,Ichneumonoidea,Braconidae,Aphidiinae,,,,,,,,,,,,,,1,,Potato Tomasa,,Lima,Lima,Perú,America del Sur,,,1-Jul-97,"Cañedo, V.",,,,CICIU,En plantas de papa tomasa,89
CIP-006-04,Lepidoptera,Glossata,Noctuoidea,Noctuidae,Heliothinae,,,,Heliothis,,,,Ochsenheimer,1816,,,,,1,,Quinua,,La Paz,Bolivia,Bolivia,America del Sur,,,12-May-95,"Valda, A.",,,,,Ex chenopodium quinoa (chenopodiaceae),90
CIP-006-05,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,,,,,,,,,,,,,,,9,,,,San Bartolo,Huasahuasi,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de caida Nro 8,"Doria, C.",3-Sep-05,,,91
CIP-006-06,Diptera,Nematocera,Chironomoidea,Chironomidae,,,,,,,sp. 3,,,,,,,,4,,,,Malambo,Junín,Perú,America del Sur,,,16-Mar-06,"Cañedo, V.",Trampa malaise,,,,,92
